ID,Country,CompTotal,Currency,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DevType,JobSat,RemoteWork,EdLevel,OrgSize,Age,Employment,AISelect
6105,Italy,100500,EUR European Euro,15,Java;Kotlin;Lua;Python;TypeScript,Go,"Developer, back-end",8,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",35-44 years old,"Employed, full-time","No, and I don't plan to"
6106,Ukraine,100000,UAH	Ukrainian hryvnia,3,C;HTML/CSS;JavaScript;PHP;Python,PHP;Python,"Developer, back-end",6,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,18-24 years old,"Employed, full-time",Yes
6107,Malta,50000,EUR European Euro,6,C#;PowerShell,C#,"Developer, back-end",9,Remote,Some college/university study without earning a degree,100 to 499 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
6108,Germany,70000,EUR European Euro,10,Bash/Shell (all shells);Elixir;Erlang;HTML/CSS;JavaScript;PHP;Rust;SQL,Bash/Shell (all shells);Elixir;Erlang;HTML/CSS;Lua;SQL;Zig,"Developer, full-stack",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,25-34 years old,"Independent contractor, freelancer, or self-employed;Employed, part-time",Yes
6109,United States of America,260000,USD	United States dollar,9,C++;Elixir;Erlang;HTML/CSS;Java;JavaScript;Ruby;Rust;SQL;Swift;TypeScript,Elixir;Erlang;HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript;Zig,"Developer, back-end",,Remote,Some college/university study without earning a degree,20 to 99 employees,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
6110,Portugal,24990,EUR European Euro,3,Apex;JavaScript,Apex;JavaScript,"Developer, desktop or enterprise applications",8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",18-24 years old,"Employed, full-time",Yes
6111,United States of America,,USD	United States dollar,43,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,"Developer, full-stack",7,Remote,Some college/university study without earning a degree,"1,000 to 4,999 employees",Prefer not to say,"Employed, full-time",Yes
6112,Germany,105000,EUR European Euro,12,R,Python;R,Data scientist or machine learning specialist,7,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",100 to 499 employees,45-54 years old,"Employed, full-time",Yes
6113,Germany,,EUR European Euro,4,Bash/Shell (all shells);C#;GDScript;HTML/CSS;Java;JavaScript;PowerShell;TypeScript,C#;GDScript;HTML/CSS;PowerShell,"Developer, full-stack",7,"Hybrid (some remote, some in-person)",Something else,20 to 99 employees,18-24 years old,"Employed, full-time","No, and I don't plan to"
6114,Ukraine,,,5,Groovy;Java;Kotlin;SQL,Kotlin;SQL,"Developer, mobile",,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Not employed, and not looking for work",Yes
6115,Netherlands,105000,EUR European Euro,15,Bash/Shell (all shells);Java;Python;SQL,Go;Java;Python;R;Rust;SQL,Data engineer,6,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,35-44 years old,"Independent contractor, freelancer, or self-employed",Yes
6116,Netherlands,250000,EUR European Euro,11,Bash/Shell (all shells);C++;Rust,Rust,Other (please specify):,7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",25-34 years old,"Employed, full-time","No, and I don't plan to"
6117,United Kingdom of Great Britain and Northern Ireland,70000,GBP	Pound sterling,27,C#,C#,Research & Development role,9,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,45-54 years old,"Employed, full-time","No, and I don't plan to"
6118,Italy,,EUR European Euro,5,Bash/Shell (all shells);JavaScript;PHP;Python;SQL,JavaScript;PHP;SQL;TypeScript,Project manager,,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,25-34 years old,"Employed, full-time",Yes
6119,Germany,,,,Bash/Shell (all shells);C,Bash/Shell (all shells),Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time","No, and I don't plan to"
6120,Spain,,,16,Elixir;HTML/CSS;PHP;SQL,Elixir;SQL,"Developer, back-end",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Not employed, but looking for work",Yes
6121,United Kingdom of Great Britain and Northern Ireland,,GBP	Pound sterling,10,Go;Ruby,Elixir;Go;Kotlin;Ruby,"Developer, back-end",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
6122,Poland,150000,PLN	Polish zloty,5,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python,"Developer, back-end",7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, part-time",Yes
6123,United States of America,265000,USD	United States dollar,25,Bash/Shell (all shells);JavaScript;Python;Ruby;SQL;TypeScript,Go;Python;R;Rust;Scala,"Developer, back-end",3,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",45-54 years old,"Employed, full-time",Yes
6124,Russian Federation,2600000,RUB	Russian ruble,4,Bash/Shell (all shells);Groovy;HTML/CSS;Python,Bash/Shell (all shells);Go;Groovy;HTML/CSS;Python;Swift,DevOps specialist,8,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","5,000 to 9,999 employees",18-24 years old,"Employed, full-time;Student, full-time",Yes
6125,Canada,190000,CAD	Canadian dollar,9,HTML/CSS;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;SQL;TypeScript,Engineering manager,9,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
6126,Germany,89000,EUR European Euro,7,Java;Kotlin,Go;Rust,"Developer, mobile",7,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
6127,United States of America,40000,USD	United States dollar,2,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,"Developer, front-end",7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,25-34 years old,"Independent contractor, freelancer, or self-employed;Employed, part-time","No, and I don't plan to"
6128,Czech Republic,,,,Lua;Python;SQL,Cobol;Python;SQL,Student,,,Primary/elementary school,,Under 18 years old,"Student, full-time",Yes
6129,Ukraine,26000,USD	United States dollar,3,C#;HTML/CSS;JavaScript;TypeScript,C#;HTML/CSS;JavaScript;TypeScript,"Developer, front-end",,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,18-24 years old,"Employed, full-time",Yes
6130,Republic of Moldova,143000,MDL	Moldovan leu,Less than 1 year,C;C#;C++;HTML/CSS;Java;JavaScript;Julia;Python;TypeScript,C++;Dart;Haskell;Julia;Kotlin;Python;Rust;TypeScript,Data scientist or machine learning specialist,,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,18-24 years old,"Student, full-time;Employed, part-time",Yes
6131,United States of America,105000,USD	United States dollar,2,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Go;Haskell;HTML/CSS;JavaScript;Lua;Nim;Python;Rust;SQL;TypeScript;Zig,"Developer, full-stack",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
6132,United States of America,125000,USD	United States dollar,22,Bash/Shell (all shells);Clojure;HTML/CSS;Lisp,Clojure;Julia;Lisp;Prolog;Rust,"Developer, full-stack",5,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",45-54 years old,"Independent contractor, freelancer, or self-employed",Yes
6133,United States of America,105000,USD	United States dollar,15,C#;Go;Haskell;HTML/CSS;JavaScript;PHP;PowerShell;Python;Ruby;SQL;TypeScript;Visual Basic (.Net),C++;Clojure;Crystal;Elixir;Haskell;HTML/CSS;Ruby;SQL,"Developer, full-stack",,Remote,Some college/university study without earning a degree,100 to 499 employees,35-44 years old,"Employed, full-time","No, but I plan to soon"
6134,Canada,120000,CAD	Canadian dollar,20,JavaScript;TypeScript,Go;Python;Rust,Engineering manager,10,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",20 to 99 employees,35-44 years old,"Employed, full-time",Yes
6135,Germany,39600,EUR European Euro,2,Apex;HTML/CSS;Java;TypeScript,Elixir;HTML/CSS;Kotlin;Rust;TypeScript,"Developer, full-stack",4,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","1,000 to 4,999 employees",18-24 years old,"Employed, full-time","No, and I don't plan to"
6136,Canada,105000,CAD	Canadian dollar,10,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);Groovy;Python;SQL,Data engineer,7,Remote,Something else,500 to 999 employees,25-34 years old,"Employed, full-time","No, but I plan to soon"
6137,Russian Federation,,RUB	Russian ruble,,Go;JavaScript;PHP;SQL,Go;Lua;SQL,"Developer, back-end",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,35-44 years old,"Employed, full-time",Yes
6138,Syrian Arab Republic,,,,C++;HTML/CSS;JavaScript;PHP;Python;Ruby,Assembly;C;C++;Go;HTML/CSS;JavaScript;Python;Ruby;Rust;TypeScript,"Developer, full-stack",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Under 18 years old,"Student, full-time",Yes
6139,Canada,132000,CAD	Canadian dollar,10,Bash/Shell (all shells);JavaScript;Ruby;SQL,Elixir;JavaScript;Ruby;SQL,"Developer, full-stack",7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,35-44 years old,"Employed, full-time",Yes
6140,Colombia,30000,USD	United States dollar,2,Bash/Shell (all shells);Java;JavaScript;Python;TypeScript,,"Developer, back-end",6,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",18-24 years old,"Employed, full-time",Yes
6141,United States of America,150000,USD	United States dollar,8,Bash/Shell (all shells);C++;Go;Java;Perl;PowerShell;Python;R;Scala;SQL,Bash/Shell (all shells);Fortran;Go;Perl;Python;R;SQL,"Developer, back-end",3,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",35-44 years old,"Employed, full-time;Student, part-time","No, and I don't plan to"
6142,Bulgaria,,,,C#;Kotlin;Objective-C;Swift;Visual Basic (.Net),C#;Kotlin;Objective-C;Swift,"Developer, desktop or enterprise applications",7,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,55-64 years old,"Employed, full-time",Yes
6143,United States of America,240000,USD	United States dollar,36,C;C++;HTML/CSS;JavaScript;SQL;VBA,C;C++;HTML/CSS;JavaScript;SQL;VBA,Hardware Engineer,10,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,55-64 years old,"Employed, full-time","No, and I don't plan to"
6144,Austria,45000,EUR European Euro,3,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Bash/Shell (all shells);Go;HTML/CSS;PHP;SQL;Zig,"Developer, full-stack",8,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,20 to 99 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
6145,Spain,45000,EUR European Euro,18,Kotlin,Swift,"Developer, mobile",7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",35-44 years old,"Employed, full-time",Yes
6146,United States of America,,USD	United States dollar,30,Apex;Bash/Shell (all shells);C;Groovy;JavaScript;Perl;PHP;Python;SQL,Apex;Bash/Shell (all shells);Perl;Python;SQL,Product manager,7,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,"5,000 to 9,999 employees",45-54 years old,"Employed, full-time","No, but I plan to soon"
6147,France,60000,EUR European Euro,9,JavaScript;Lua;PHP;SQL;TypeScript,Go;HTML/CSS;JavaScript;Lua;PHP;Rust;SQL;TypeScript,"Developer, back-end",3,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
6148,Brazil,360000,BRL	Brazilian real,18,Go,Go;Rust,"Developer, back-end",9,Remote,Some college/university study without earning a degree,"5,000 to 9,999 employees",35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
6149,Switzerland,110000,CHF	Swiss franc,24,Bash/Shell (all shells);Crystal;Elixir;Erlang;Go;Groovy;HTML/CSS;JavaScript;Lua;Nim;PowerShell;Python;Ruby;Rust;SQL;TypeScript;VBA,Elixir;Erlang;HTML/CSS;Lua;Nim;Ruby;Rust;SQL,"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Yes
6150,United States of America,88000,USD	United States dollar,2,Bash/Shell (all shells);C++;HTML/CSS;MATLAB;Python,Bash/Shell (all shells);C++;Python;Rust;SQL,"Developer, back-end",7,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25-34 years old,"Employed, full-time",Yes
6151,United States of America,,USD	United States dollar,20,Erlang,Erlang,"Developer, back-end",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",35-44 years old,"Employed, full-time","No, and I don't plan to"
6152,United States of America,78000,USD	United States dollar,2,C;GDScript;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,C;C#;GDScript;Go;HTML/CSS;Lua;Python;Rust;SQL;TypeScript;Zig,"Developer, full-stack",,Remote,"Associate degree (A.A., A.S., etc.)","Just me - I am a freelancer, sole proprietor, etc.",25-34 years old,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Yes
6153,United States of America,160000,USD	United States dollar,22,Bash/Shell (all shells);C;C++;Go;JavaScript;Python;Rust;SQL,Bash/Shell (all shells);C;C++;Python;Rust;SQL,"Developer, embedded applications or devices",,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,45-54 years old,"Employed, full-time","No, and I don't plan to"
6154,Germany,,,,Bash/Shell (all shells);C;C++;Python;Rust,Python;Rust,Scientist,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time","No, but I plan to soon"
6155,United States of America,170000,USD	United States dollar,11,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);C#;C++;Python;Zig,"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,35-44 years old,"Employed, full-time",Yes
6156,Spain,55000,EUR European Euro,12,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);Haskell;HTML/CSS;Python;SQL;TypeScript,"Developer, back-end",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,35-44 years old,"Employed, full-time",Yes
6157,Slovenia,,EUR European Euro,4,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Objective-C;Python;Ruby;SQL;Swift;TypeScript,Bash/Shell (all shells);C++;Java;Objective-C;Python;Ruby;Swift,"Developer, full-stack",,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Just me - I am a freelancer, sole proprietor, etc.",18-24 years old,"Independent contractor, freelancer, or self-employed;Student, part-time",Yes
6158,Germany,50000,EUR European Euro,7,Assembly;Bash/Shell (all shells);C;C++;Java;Lua;MATLAB;Python,Assembly;C++;Lua;Rust,"Developer, embedded applications or devices",9,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,25-34 years old,"Student, part-time;Employed, part-time",Yes
6159,United States of America,190000,USD	United States dollar,10,Dart;Elixir;Erlang;Go;Haskell;JavaScript;Python;R;SQL;TypeScript,Dart;Go;JavaScript;Python;Rust;SQL;TypeScript,Data scientist or machine learning specialist,7,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,25-34 years old,"Employed, full-time",Yes
6160,Egypt,,USD	United States dollar,Less than 1 year,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PowerShell;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;TypeScript,"Developer, full-stack",,Remote,"Associate degree (A.A., A.S., etc.)","Just me - I am a freelancer, sole proprietor, etc.",18-24 years old,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Yes
6161,United States of America,107000,USD	United States dollar,8,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, front-end",,Remote,"Associate degree (A.A., A.S., etc.)",100 to 499 employees,35-44 years old,"Employed, full-time","No, but I plan to soon"
6162,United States of America,160000,USD	United States dollar,14,JavaScript;PHP;SQL,PHP;SQL,"Developer, full-stack",,Remote,Some college/university study without earning a degree,100 to 499 employees,35-44 years old,"Employed, full-time",Yes
