ID,Country,Country Standard,CompTotal,Currency,Salary in Rupees,YearsCodePro,LanguageHaveWorkedWith,NoOfSkills,LanguageWantToWorkWith,DevType,DevTypeNorm,RemoteWork ,RemoteWorkNorm ,EdLevel,OrgSize,OrgSizeNorm,Age,AgeNorm,Employment,AISelect,AiSelectNorm
6281,United States of America,USA,66000,USD	United States dollar,5544000,20,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;SQL,6,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;SQL,"Developer, full-stack",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,5,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",No,0
6282,United States of America,USA,320000,USD	United States dollar,26880000,15,JavaScript;Python;SQL;TypeScript,4,Python;Rust;TypeScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
6283,United Kingdom of Great Britain and Northern Ireland,United Kingdom,94000,GBP	Pound sterling,9964000,25,C#;Dart;HTML/CSS;JavaScript;Python;TypeScript,6,C#;Dart,Other (please specify):,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,45-54 years old,45,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
6284,United States of America,USA,135000,USD	United States dollar,11340000,5,Bash/Shell (all shells);Python;SQL,3,Python;Rust,Data scientist or machine learning specialist,,Remote,2,Some college/university study without earning a degree,"1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
6285,United Kingdom of Great Britain and Northern Ireland,United Kingdom,100000,GBP	Pound sterling,10600000,6,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python;R;SQL,7,Bash/Shell (all shells);Python;SQL,Other (please specify):,,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","10,000 or more employees",10000,45-54 years old,45,"Employed, full-time",No,0
6286,Poland,Poland,130000,USD	United States dollar,10920000,14,C;Go;Rust;Swift,4,Go;Rust;Swift,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
6287,Argentina,Argentina,140000,USD	United States dollar,11760000,28,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Lisp;MATLAB;PowerShell;Python;SQL;TypeScript,13,C#;JavaScript;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10 to 19 employees,15,45-54 years old,45,"Employed, full-time",Yes,1
6288,Germany,Germany,100000,EUR European Euro,9100000,30,Bash/Shell (all shells);C;C#;C++;Delphi;HTML/CSS;JavaScript;Lua;MATLAB;PowerShell;Python;R;SQL;TypeScript;VBA,15,Bash/Shell (all shells);C;C#;C++;Delphi;HTML/CSS;JavaScript;Lua;PowerShell;Python;R;SQL;TypeScript,"Developer, desktop or enterprise applications",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,5,45-54 years old,45,"Employed, full-time",No,0
6289,United States of America,USA,110000,USD	United States dollar,9240000,25,C++;Java;Kotlin;Python;SQL,5,C++;Go;Java;Kotlin;Python;Rust;SQL,"Developer, back-end",,Remote,2,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","5,000 to 9,999 employees",7500,45-54 years old,45,"Employed, full-time",Yes,1
6290,Canada,Canada,135000,CAD	Canadian dollar,8370000,25,C;C#;C++;Crystal;Delphi;Groovy;Perl;PowerShell;SQL;VBA;Visual Basic (.Net),11,C;C#;C++;Delphi;Groovy;Perl;PowerShell;SQL;VBA;Visual Basic (.Net),"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,55-64 years old,55,"Employed, full-time",Yes,1
6291,United Arab Emirates,United Arab Emirates,300000,AED United Arab Emirates dirham,300000,10,HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript,6,Swift,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
6292,Brazil,Brazil,103200,BRL	Brazilian real,1548000,5,Bash/Shell (all shells);C#;Delphi;Haskell;JavaScript;Lua;MATLAB;PowerShell;Python;SQL;TypeScript,11,Bash/Shell (all shells);C#;Delphi;JavaScript;Python;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,18-24 years old,18,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",Yes,1
6293,Canada,Canada,70000,CAD	Canadian dollar,4340000,5,Bash/Shell (all shells);C;C#;C++;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript,12,Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Ruby;Rust;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
6294,United States of America,USA,95000,USD	United States dollar,7980000,3,Assembly;Bash/Shell (all shells);C;Lua;PHP;Python;Rust;TypeScript,8,Go;Haskell;Kotlin;Lua;Rust;TypeScript;Zig,"Developer, embedded applications or devices",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,18-24 years old,18,"Employed, full-time",No,0
6295,Germany,Germany,81000,EUR European Euro,7371000,20,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL,6,C#;HTML/CSS;SQL,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
6296,Canada,Canada,147400,CAD	Canadian dollar,9138800,25,HTML/CSS;JavaScript;PHP;SQL,4,HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,55-64 years old,55,"Employed, full-time",Yes,1
6297,Romania,Romania,75000,RON	Romanian leu,1580250,2,Bash/Shell (all shells);C;C++;Python;SQL,5,Python;SQL,"Developer, AI",,In-person,0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2 to 9 employees,5,18-24 years old,18,"Employed, full-time;Student, part-time",Yes,1
6298,United States of America,USA,211000,USD	United States dollar,17724000,7,Bash/Shell (all shells);Python;SQL,3,Bash/Shell (all shells);Python;SQL,Data scientist or machine learning specialist,,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
6299,United States of America,USA,210000,USD	United States dollar,17640000,9,C++;Prolog;R;SQL,4,Rust;SQL;Zephyr,"Developer, AI",,Remote,2,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","10,000 or more employees",10000,55-64 years old,55,"Employed, full-time",Yes,1
6300,France,France,64000,EUR European Euro,5824000,20,C++;HTML/CSS;Python,3,Rust;Zig,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
6301,United States of America,USA,240000,USD	United States dollar,20160000,10,Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript,9,Bash/Shell (all shells);Elixir;HTML/CSS;Kotlin;Python;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Associate degree (A.A., A.S., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
6302,United States of America,USA,112000,USD	United States dollar,9408000,6,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,8,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
6303,Canada,Canada,115000,CAD	Canadian dollar,7130000,20,Go,1,Go,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",No,0
6304,United States of America,USA,175000,USD	United States dollar,14700000,8,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,6,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,"Developer, front-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time",No,0
6305,United Kingdom of Great Britain and Northern Ireland,United Kingdom,95000,GBP	Pound sterling,10070000,17,Python;SQL,2,Nim;Python;Rust;SQL,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
6306,United States of America,USA,60000,USD	United States dollar,5040000,11,Bash/Shell (all shells);C++;R,3,Bash/Shell (all shells);C++;R,Academic researcher,,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",No,0
6307,Austria,Austria,100000,EUR European Euro,9100000,38,Bash/Shell (all shells);JavaScript;Prolog;Python;Solidity;SQL,6,Bash/Shell (all shells);JavaScript;Prolog;Python;Solidity;SQL,Academic researcher,,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","5,000 to 9,999 employees",7500,55-64 years old,55,"Employed, full-time",No,0
6308,United Kingdom of Great Britain and Northern Ireland,United Kingdom,127500,GBP	Pound sterling,13515000,12,Scala,1,OCaml;Scala,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
6309,United States of America,USA,120000,USD	United States dollar,10080000,8,Bash/Shell (all shells);Haskell;HTML/CSS;JavaScript;OCaml;Python;Rust,7,Rust,Data engineer,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",No,0
6310,France,France,120000,CHF	Swiss franc,11400000,20,Assembly;Bash/Shell (all shells);C;JavaScript;Python,5,Assembly;Bash/Shell (all shells);C;Python;Rust,"Developer, embedded applications or devices",,In-person,0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10 to 19 employees,15,35-44 years old,35,"Employed, full-time",No,0
6311,United States of America,USA,140832,USD	United States dollar,11829888,18,Bash/Shell (all shells);Python;Scala,3,Bash/Shell (all shells);C;Clojure;Go;Python;Scala,Cloud infrastructure engineer,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
6312,Italy,Italy,63000,EUR European Euro,5733000,9,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,10,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,"Developer, game or graphics",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
6313,United States of America,USA,205600,USD	United States dollar,17270400,12,Go;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL,7,Assembly;C;Go;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript;Zig,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
6314,Brazil,Brazil,82000,USD	United States dollar,6888000,11,C#;HTML/CSS;JavaScript;SQL;TypeScript,5,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",,Remote,2,Some college/university study without earning a degree,500 to 999 employees,750,35-44 years old,35,"Employed, full-time",No,0
6315,United States of America,USA,105000,USD	United States dollar,8820000,27,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),5,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,45-54 years old,45,"Employed, full-time",No,0
6316,United States of America,USA,237000,USD	United States dollar,19908000,34,Bash/Shell (all shells);C;Java;JavaScript;MicroPython;Perl;PowerShell;Python;Rust;Scala;SQL,11,Bash/Shell (all shells);C;Go;MicroPython;Python;Rust;SQL,Data engineer,,Remote,2,Some college/university study without earning a degree,"1,000 to 4,999 employees",2500,55-64 years old,55,"Employed, full-time",No,0
6317,Belgium,Belgium,150000,EUR European Euro,13650000,10,Bash/Shell (all shells);Haskell;JavaScript;Python;Rust,5,Lisp;Rust;Swift;TypeScript;Zig,Developer Experience,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
6318,Ireland,Ireland,150000,EUR European Euro,13650000,5,Java;TypeScript,2,Clojure;Groovy;Java;Kotlin;Rust;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
6319,United States of America,USA,160000,USD	United States dollar,13440000,17,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,7,Bash/Shell (all shells);Crystal;Go;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
6320,United States of America,USA,140000,USD	United States dollar,11760000,16,Bash/Shell (all shells);C#;HTML/CSS;Perl;SQL,5,C#;HTML/CSS;SQL,"Developer, full-stack",,In-person,0,"Associate degree (A.A., A.S., etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",Yes,1
6321,Mexico,Mexico,203000,MXN	Mexican peso,1075900,2,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,6,C#;HTML/CSS;JavaScript;Python;SQL;Swift,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,18-24 years old,18,"Employed, full-time",Yes,1
6322,United States of America,USA,98000,USD	United States dollar,8232000,10,C#;HTML/CSS;JavaScript;PHP,4,C#;HTML/CSS;JavaScript;PHP,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
6323,Belgium,Belgium,60000,EUR European Euro,5460000,30,C#;Go;JavaScript,3,C#;Go;JavaScript;Python;Rust,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,45-54 years old,45,"Independent contractor, freelancer, or self-employed",No,0
6324,United States of America,USA,180000,USD	United States dollar,15120000,4,Bash/Shell (all shells);Haskell;HTML/CSS;JavaScript;Python;TypeScript,6,Haskell;Rust;TypeScript,Designer,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,18-24 years old,18,"Employed, full-time",Yes,1
6325,United States of America,USA,145000,USD	United States dollar,12180000,16,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),6,C#;HTML/CSS;JavaScript;PowerShell;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,35-44 years old,35,"Employed, full-time",No,0
6326,Canada,Canada,111200,CAD	Canadian dollar,6894400,8,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell,5,C#;C++,Other (please specify):,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I don’t know,300,25-34 years old,25,"Employed, full-time",Yes,1
6327,United States of America,USA,200000,USD	United States dollar,16800000,11,Bash/Shell (all shells);C;C++;Clojure;Cobol;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;Julia;Lua;Prolog;Python;Rust,16,Bash/Shell (all shells);C;C++;Clojure;Cobol;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;Julia;Lua;Prolog;Python;Rust;Zig,"Developer, AI",,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
6328,Ukraine,Ukraine,60000,USD	United States dollar,5040000,8,Bash/Shell (all shells);C;C#;C++;Groovy;JavaScript;MATLAB;Python,8,Bash/Shell (all shells);C;C++;Python,"Developer, embedded applications or devices",,Remote,2,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
6329,Belgium,Belgium,105000,EUR European Euro,9555000,19,Bash/Shell (all shells);Go;Groovy;Java;JavaScript;Lua;SQL;TypeScript,8,Go;Java;Kotlin,Cloud infrastructure engineer,,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",No,0
6330,Canada,Canada,64500,CAD	Canadian dollar,3999000,2,C#;C++;HTML/CSS;Java;JavaScript;Python;SQL,7,C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,18-24 years old,18,"Employed, full-time",No,0
6331,Portugal,Portugal,79000,EUR European Euro,7189000,14,HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,6,Kotlin;Rust;Solidity;Swift,"Developer, mobile",,Remote,2,Some college/university study without earning a degree,"1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",Yes,1
6332,Germany,Germany,74000,EUR European Euro,6734000,7,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;Solidity;SQL;TypeScript,9,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;Solidity;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, part-time",Yes,1
6333,Germany,Germany,70000,EUR European Euro,6370000,6,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;Zephyr,7,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;Zephyr,"Developer, embedded applications or devices",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, part-time",No,0
6334,Brazil,Brazil,365000,BRL	Brazilian real,5475000,2,C;Delphi;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,9,C#;C++;Dart;HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
